Token	POS-Tag	Sentence
,	PUNCT	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	CCONJ	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
limitaram-se	VERB	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
a	DET	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
A	DET	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
insuficiência	NOUN	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
do	DET	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
castigo	NOUN	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
serviu	VERB	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
somente	ADV	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
para	SCONJ	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
irritar	VERB	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
o	DET	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
crioulo	NOUN	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
que	PRON	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
,	PUNCT	A insuficiência do castigo serviu somente para irritar o crioulo que, res­sentido da privação de seus prazeres, maldisse dos senhores na cozinha, recrudescendo-lhe a raiva com as zombarias e as provocações dos par­ceiros.
A	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
escravidão	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
já	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
tinha	VERB	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
com	ADP	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
seu	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
cortejo	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
lógico	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
e	CCONJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
quase	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
sempre	ADV	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
infalível	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
de	ADP	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
todos	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
os	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
sentimentos	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ruins	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
,	PUNCT	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
de	ADP	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
todas	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
as	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
paixões	NOUN	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
ignóbeis	ADJ	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
,	PUNCT	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
estragado	VERB	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
o	DET	A escravidão já tinha com o seu cortejo lógico e quase sempre infalível de todos os sentimentos ruins, de todas as paixões ignóbeis, estragado o crioulo que talvez houvesse nascido com felizes disposições naturais: o ódio aos senhores já estava incubado na alma do escravo; só faltava para desenvolvê-lo o calor mais forte da ação do domínio absoluto que desu­maniza o homem a ele sujeito.
