Token	Sentença
##ndo	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
que	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
Sim	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##e	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##ão	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
lhes	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
fur	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##tava	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
dinheiro	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
objetos	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
de	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
valor	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
;	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
mas	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
em	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
vez	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
de	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
cas	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##ti	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##gá	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
-	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
lo	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
com	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
sever	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##idade	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
fracos	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
ainda	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
quis	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##eram	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
ver	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
no	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
crime	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
apenas	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
uma	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
extra	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##va	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##g	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##ância	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
da	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
mo	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##cidade	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
limita	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##ram	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
-	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
se	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
a	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
rep	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##ree	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##nder	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
com	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
as	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##per	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
##eza	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
,	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
e	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
a	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
impedir	Domingos Caetano e Angélica fatigaram-se de duvidar, e cederam à evidência, reconhecendo que Simeão lhes furtava dinheiro e objetos de valor; mas em vez de castigá-lo com severidade, fracos ainda, quiseram ver no crime apenas uma extravagância da mocidade, e limitaram-se a re­preender com aspereza, e a impedir durante algumas semanas as saídas de Simeão.
